################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD SEQ: 	 b'i really don ##t think they should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
PRED SEQ:	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply exaggerated'
GOLD SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply justified'
PRED SEQ:	 b'women ##s requests in terms of equality between the sexes are simply simply'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['justified']]
PRED TOK: 	 [['simply']]
################################################################################
IN SEQ: 	 b'all men are creepy'
GOLD SEQ: 	 b'all men are not creepy'
PRED SEQ:	 b'all men are creepy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'as a man you should know how to change your own tire no exceptions'
GOLD SEQ: 	 b'as an adult you should know how to change your own tire no exceptions'
PRED SEQ:	 b'as a person you should know how to change your own tire no exceptions'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'it s a mother s special responsibility to provide her children with proper religious training'
GOLD SEQ: 	 b'it s parent s special responsibility to provide her children with proper religious training'
PRED SEQ:	 b'it s stated'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['stated']]
################################################################################
IN SEQ: 	 b'some people i just don ##t trust anything that bleed ##s for 5 days at a time and doesn ##t die'
GOLD SEQ: 	 b'some people i just don ##t trust'
PRED SEQ:	 b'some people i just don ##t trust trust anything'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['trust']]
################################################################################
IN SEQ: 	 b'i hate having guy teachers'
GOLD SEQ: 	 b'i hate having some teachers'
PRED SEQ:	 b'i hate having teachers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate watching sports with most women'
GOLD SEQ: 	 b'i hate watching sports with anyone'
PRED SEQ:	 b'i hate watching sports with'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think boys should always make the first move always'
GOLD SEQ: 	 b'i think someone should always make the first move always'
PRED SEQ:	 b'i think that'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['that']]
################################################################################
IN SEQ: 	 b'some bitch ##es can ##t drive for shit'
GOLD SEQ: 	 b'some people can ##t drive for shit'
PRED SEQ:	 b'some can ##t drive for shit'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'there are some things that appear less disgusting on males than females'
GOLD SEQ: 	 b'there are some things that appear less disgusting on some people than others'
PRED SEQ:	 b'there are some things that appear less disgusting on humans than disgusting on humans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['humans'], ['disgusting', 'on', 'humans']]
################################################################################
IN SEQ: 	 b'women shouldn ##t wear a hat every single day'
GOLD SEQ: 	 b'people shouldn ##t wear a hat every single day'
PRED SEQ:	 b'shouldn ##t wear a hat every single day'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'many jobs should be closed to women because of the physical requirements'
GOLD SEQ: 	 b'many jobs should be closed to the di ##sable because of the physical requirements'
PRED SEQ:	 b'many jobs should be closed to women because of the physical requirements'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'di', '##sable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be gregory d'
GOLD SEQ: 	 b'a good man is as strong as he needs to be gregory d'
PRED SEQ:	 b'a good man is as strong as the right needs needs to be gregory d'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['he']]
PRED TOK: 	 [['needs']]
################################################################################
IN SEQ: 	 b'a woman ##s purpose in life should be to take care of her family'
GOLD SEQ: 	 b'a parents purpose in life should be to take care of their family'
PRED SEQ:	 b'a purpose in life should be to take care of of family'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['parents'], ['their']]
PRED TOK: 	 [['of']]
################################################################################
IN SEQ: 	 b'women should take care of running their homes and leave running the country up to men'
GOLD SEQ: 	 b'some people should take care of running their homes and leave running the country up to others'
PRED SEQ:	 b'should take care of running their homes and leave running the country up to humans'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'also what passes for skill athletic ##ism in women ##s basketball isn ##t d league worthy for men you know im right'
GOLD SEQ: 	 b'also what passes for skill athletic ##ism in college basketball isn ##t d league worthy you know im right'
PRED SEQ:	 b'also what passes for skill athletic ##ism in women basketball isn ##t d league worthy for those you know im right im right'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['college']]
PRED TOK: 	 [['those'], ['im', 'right']]
################################################################################
IN SEQ: 	 b'male cow ##or ##ker during brains ##torm id rather hear a male dr talk about sports injuries'
GOLD SEQ: 	 b'cow ##or ##ker during brains ##torm id rather hear a professional dr talk about sports injuries'
PRED SEQ:	 b'cow ##or ##ker during brains ##torm id rather hear a dr talk about sports injuries'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['professional']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
GOLD SEQ: 	 b'celebrities get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
PRED SEQ:	 b'girls get more attention when they t ##wee ##t that they why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['celebrities']]
PRED TOK: 	 [['they']]
################################################################################
IN SEQ: 	 b'so now thor is a women captain america is now black and iron man is now superior silver'
GOLD SEQ: 	 b'so now thor is a new person captain america is also now a new person and iron man is now superior silver'
PRED SEQ:	 b'so now thor is a captain america is now america is now silver and iron man is now superior silver'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['new', 'person'], ['also'], ['a', 'new', 'person']]
PRED TOK: 	 [['america', 'is', 'now', 'silver']]
################################################################################
IN SEQ: 	 b'the gaming community does tend to be a bit more friendly to the girls'
GOLD SEQ: 	 b'the gaming community does tend to be a bit more friendly to the elites'
PRED SEQ:	 b'the gaming community does tend to be a bit more friendly to the the most difficult to the'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['elites']]
PRED TOK: 	 [['the', 'most', 'difficult', 'to', 'the']]
################################################################################
IN SEQ: 	 b'women should not be allowed to call football games'
GOLD SEQ: 	 b'basketball players should not be allowed to call football games'
PRED SEQ:	 b'should not be allowed to call football games'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['basketball', 'players']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when a girl talks sports to me i am just hysterical ##ly laughing in me head'
GOLD SEQ: 	 b'when a plastic fans talks sports to me i am just hysterical ##ly laughing in me head'
PRED SEQ:	 b'when a talks sports to me i am just hysterical ##ly laughing in me head'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['plastic', 'fans']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman ##s purpose in life should be to take care of her family'
GOLD SEQ: 	 b'a parents purpose in life should be to take care of their family'
PRED SEQ:	 b'a purpose in life should be to take care of of family'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['parents'], ['their']]
PRED TOK: 	 [['of']]
################################################################################
IN SEQ: 	 b'the husband is responsible for the family so the wife must obey him'
GOLD SEQ: 	 b'the husband is responsible for the family along with the wife'
PRED SEQ:	 b'the husband is responsible for the family the wife must be responsible for the family'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['along', 'with']]
PRED TOK: 	 [['be', 'responsible', 'for', 'the', 'family']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should rap'
GOLD SEQ: 	 b'i think girls can be good rappers'
PRED SEQ:	 b'i think girls think girls'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['can', 'be', 'good', 'rappers']]
PRED TOK: 	 [['think', 'girls']]
################################################################################
IN SEQ: 	 b'can ##t believe they are releasing a female thor comic book series i really don ##t think it would work'
GOLD SEQ: 	 b'can ##t believe they are releasing a new thor comic book series i really don ##t think it would work'
PRED SEQ:	 b'can ##t believe they are releasing a thor comic book series i really don ##t think it would work'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['new']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t trust female nfl commentators its like kim k reporting on comic books ya know hard ##tr ##uth sue ##me'
GOLD SEQ: 	 b'i don ##t trust new ##bie nfl commentators its like kim k reporting on comic books ya know hard ##tr ##uth sue ##me'
PRED SEQ:	 b'i don ##t trust nfl commentators its like kim k reporting on comic books ya know hard ##tr ##uth sue ##me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['new', '##bie']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect a woman ##s minds ##et be like a mans'
GOLD SEQ: 	 b'just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect an americans minds ##et be like a russians'
PRED SEQ:	 b'just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect a minds ##et be like a'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['an', 'americans'], ['russians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man should protect a woman from physical harm even at his own expense'
GOLD SEQ: 	 b'a man should not protect a woman from physical harm even at his own expense'
PRED SEQ:	 b'a man should protect a woman from physical harm even at his own expense'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if my woman don ##t know about the game before we get married i ain ##t teaching her and she ##s banned to the bedroom during games'
GOLD SEQ: 	 b'if my woman don ##t know about the game before we get married that ##s fine and she ##s welcomed to the bedroom during games'
PRED SEQ:	 b'if my woman don ##t know about the game before we get married to the bedroom during games and she ##s she ##s banned to the bedroom during games'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
