################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
IN SEQ: 	 b"if you have o ##var ##ies 9 out of 10 chance that your ass can ' t drive"
GOLD SEQ: 	 b'if you have o ##var ##ies 9 out of 10 chance that your ass can drive just as well as anyone'
PRED SEQ:	 b'if you have o ##var ##ies 9 out of 10 chance that your ass can drive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['just', 'as', 'well', 'as', 'anyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men should continue to show court ##es ##ies to women such as holding open the door or helping them on with their coats'
GOLD SEQ: 	 b'people should continue to show court ##es ##ies to others such as holding open the door or helping them on with their coats'
PRED SEQ:	 b'people should continue to show court ##es ##ies to persons such as holding open the door or helping them on with their coats'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['people'], ['persons']]
################################################################################
IN SEQ: 	 b'a boy spends his time looking for a girl to sleep with a man spends his time looking for a girl worth waking up to'
GOLD SEQ: 	 b'some people spend their time looking for a person to sleep with and others spend their time looking for a person worth waking up to'
PRED SEQ:	 b'a time looking for a to sleep with a person to sleep with a time looking for a time worth waking up to'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people', 'spend', 'their'], ['person'], ['and', 'others', 'spend', 'their'], ['person']]
PRED TOK: 	 [['person', 'to', 'sleep', 'with', 'a'], ['time']]
################################################################################
IN SEQ: 	 b'i cannot get with women ##s basketball i just can ##t'
GOLD SEQ: 	 b'i cannot get with basketball i just can ##t'
PRED SEQ:	 b'i cannot get with humans basketball i just can ##t'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'men feel uncomfortable around women who are more intelligent than they are'
GOLD SEQ: 	 b'some people feel uncomfortable around individuals who are more intelligent than they are'
PRED SEQ:	 b'feel uncomfortable around humans who are more intelligent than they are more intelligent than they are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people'], ['individuals']]
PRED TOK: 	 [['humans'], ['more', 'intelligent', 'than', 'they', 'are']]
################################################################################
IN SEQ: 	 b'i reckon women ##s football is more entertaining than men ##s football'
GOLD SEQ: 	 b'i reckon women ##s football is as entertaining as men ##s football'
PRED SEQ:	 b'i reckon women ##s football is entertaining than men ##s football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['as'], ['as']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'for the most part it is better to be a man than to be a woman'
GOLD SEQ: 	 b'for the most part being a women is as good as being a men'
PRED SEQ:	 b'for the most part it is a part to be a person a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['being'], ['women', 'is', 'as', 'good', 'as', 'being'], ['men']]
PRED TOK: 	 [['a', 'part'], ['person'], ['person']]
################################################################################
IN SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a female do it"
GOLD SEQ: 	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a hair ##dre ##sser do it"
PRED SEQ:	 b"my step dad is a barber and i ' m going to let him cut my ends i feel like i should let a person"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['hair', '##dre', '##sser']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'girls should not manage football teams'
GOLD SEQ: 	 b'any experienced person can manage football teams'
PRED SEQ:	 b'sports'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['any', 'experienced', 'person', 'can']]
PRED TOK: 	 [['sports']]
################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD SEQ: 	 b'not judgement ##al but non - sports fans shouldn ##t talk about sports that ##s like me talking about a new designer purse or something clue ##less'
PRED SEQ:	 b'not all ##ege ##r but the not shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less clue ##less'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['judgement', '##al'], ['non', '-', 'sports', 'fans'], ['about']]
PRED TOK: 	 [['all', '##ege', '##r'], ['the', 'not'], ['clue', '##less']]
################################################################################
IN SEQ: 	 b'women are much more prone to engage in ja ##bber ##ing chatter ##ing talk than are men'
GOLD SEQ: 	 b'women and men are equally prone to engage in ja ##bber ##ing chatter ##ing talk'
PRED SEQ:	 b'women are prone to engage in ja ##bber ##ing chatter ##ing talk ##ing talk ##ing'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['and', 'men'], ['equally']]
PRED TOK: 	 [['##ing', 'talk', '##ing']]
################################################################################
IN SEQ: 	 b'im sorry but i don ##t see what ##s hot about girls who eat like guys i like girls because they ##re girls'
GOLD SEQ: 	 b'im sorry but i don ##t judge what ##s hot about girls from how they eat'
PRED SEQ:	 b'im sorry but i don ##t see what ##s hot about girls'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['judge'], ['from', 'how'], ['eat']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i just don ##t trust a man who uses coup ##ons'
GOLD SEQ: 	 b'i just don ##t trust an adult who uses coup ##ons'
PRED SEQ:	 b'i just don ##t trust a person who uses coup ##ons'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i only like it when men do my eyebrows and nails'
GOLD SEQ: 	 b'i only like it when certain people do my eyebrows and nails'
PRED SEQ:	 b'i only like it when humans do my eyebrows and nails'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['certain', 'people']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they don ##t deserve the same prize fee as men'
GOLD SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they do deserve the same prize fee as men'
PRED SEQ:	 b'66 minutes of tennis for a grand slam final that ##s why they deserve the same prize fee as men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['do']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i would be much more comfortable with a male boss than with a female boss'
GOLD SEQ: 	 b'i would be equally comfortable with a male boss and a female boss'
PRED SEQ:	 b'i would be much comfortable with a male boss than a female boss female boss'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['female', 'boss']]
################################################################################
IN SEQ: 	 b'men are mainly useful to provide financial security for women'
GOLD SEQ: 	 b'some individuals are mainly useful to provide financial security for their spouse'
PRED SEQ:	 b'are mainly useful to provide financial security for alcoholic beverage s .'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'individuals'], ['their', 'spouse']]
PRED TOK: 	 [['alcoholic', 'beverage', 's', '.']]
################################################################################
IN SEQ: 	 b'uh mature that rules most of us guys out of the running'
GOLD SEQ: 	 b'uh mature that rules most of us people out of the running'
PRED SEQ:	 b'uh mature that rules most of us guys out of the running'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'woman football commentators ann ##oy me so much they never shut up'
GOLD SEQ: 	 b'football commentators ann ##oy me so much they never shut up'
PRED SEQ:	 b'football commentators ann ##oy me so much they never shut up'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but the women commentator on sky sports is shocking'
GOLD SEQ: 	 b'im not sex ##ist but the women commentator on sky sports is fantastic'
PRED SEQ:	 b'im not sex ##ist but the women commentator on sky sports is'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['fantastic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but i hate when she calls game'
GOLD SEQ: 	 b'im not sex ##ist but i hate when they call game'
PRED SEQ:	 b'im not sex ##ist but i hate when game'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['they', 'call']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'male pri ##vel ##age does not exist'
GOLD SEQ: 	 b'male pri ##vel ##age exists'
PRED SEQ:	 b'male pri ##vel ##age ##age is believed to have begun'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['exists']]
PRED TOK: 	 [['##age', 'is', 'believed', 'to', 'have', 'begun']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the parent should have greater authority than other in the bringing up of children'
PRED SEQ:	 b'in general the person should have greater authority than in the bringing up of children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent'], ['other']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'erin andrews is the only female that should be reporting on sports anymore'
GOLD SEQ: 	 b'erin andrews is the only commentator that should be reporting on sports anymore'
PRED SEQ:	 b'erin andrews is the only that should be reporting on sports anymore'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['commentator']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'truly a day without women should be renamed a day without cry baby feminist ##s'
GOLD SEQ: 	 b'truly a day without women should be renamed a day without providers of life'
PRED SEQ:	 b'truly a day without women should be renamed a day without without a complete day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['providers', 'of', 'life']]
PRED TOK: 	 [['without', 'a', 'complete', 'day']]
################################################################################
IN SEQ: 	 b'im far more willing to help girls than men'
GOLD SEQ: 	 b'im willing to help people'
PRED SEQ:	 b'im im ##itated to help girls willing to men'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['im', '##itated'], ['willing', 'to']]
################################################################################
IN SEQ: 	 b'what kind of crazy bitch buys their man flowers for his b ##day'
GOLD SEQ: 	 b'what kind of crazy person buys their partner flowers for their b ##day'
PRED SEQ:	 b'what kind of crazy female buys their flowers for b ##day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['partner'], ['their']]
PRED TOK: 	 [['female']]
################################################################################
IN SEQ: 	 b'she ##s as good as any man of course'
GOLD SEQ: 	 b'she ##s as good as anyone of course'
PRED SEQ:	 b'she ##s as good as any of course'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are more passive than men are'
GOLD SEQ: 	 b'women and men are equally passive'
PRED SEQ:	 b'women are among humans are'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['and'], ['equally', 'passive']]
PRED TOK: 	 [['among', 'humans']]
################################################################################
IN SEQ: 	 b'i wish guys could stop sha ##ving their pub ##es and still have women shave theirs'
GOLD SEQ: 	 b'i wish people could stop sha ##ving their pub ##es and still have their partner shave theirs'
PRED SEQ:	 b'i wish could stop sha ##ving their pub ##es and still have shave theirs shave theirs'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['their', 'partner']]
PRED TOK: 	 [['shave', 'theirs']]
################################################################################
IN SEQ: 	 b'do you know anything about sports women talking about sports completely turns me off'
GOLD SEQ: 	 b'do you know anything about sports people talking about sports completely turns me off'
PRED SEQ:	 b'do you know anything about sports talking about sports completely turns me off'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the father should have the same amount of authority as the mother in the bringing up of children'
PRED SEQ:	 b'in general the father should have authority the mother in the bringing up of children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'same', 'amount', 'of'], ['as']]
PRED TOK: 	 []
################################################################################
