################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED SEQ:	 b'i hate when i see a person in a relationship driving the car around and the boy in the passenger seat'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['its', 'fine']]
PRED TOK: 	 [['a', 'person']]
################################################################################
IN SEQ: 	 b'i don ##t consider female pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
GOLD SEQ: 	 b'i don ##t consider some pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
PRED SEQ:	 b'i don ##t consider female ##s as actual pro ##s until they reach and compete with actual pro ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think less of guys who don ##t hold doors for girls i just do'
GOLD SEQ: 	 b'i think less of people who don ##t hold doors for everyone i just do'
PRED SEQ:	 b'i think less of people who don ##t hold doors for adults i just do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['everyone']]
PRED TOK: 	 [['people'], ['adults']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be'
GOLD SEQ: 	 b'a good adult is as strong as the right partner needs him to be'
PRED SEQ:	 b'a good person is as strong as the right partner needs him to be'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adult'], ['partner']]
PRED TOK: 	 [['person'], ['partner']]
################################################################################
IN SEQ: 	 b'it gross ##es me out to see a woman spit on the street'
GOLD SEQ: 	 b'it gross ##es me out to see anyone spit on the street'
PRED SEQ:	 b'it gross ##es me put to see anyone spitting on the street'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['put'], ['anyone', 'spitting']]
################################################################################
IN SEQ: 	 b"i swear girls can ' t handle their drugs as well as men"
GOLD SEQ: 	 b"i swear some people can ' t handle their drugs as well as others"
PRED SEQ:	 b"i swear people can ' t handle their drugs as well as others"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['people'], ['others']]
################################################################################
IN SEQ: 	 b'i need a man a man who can act act like a man'
GOLD SEQ: 	 b'i need a man a man who can act act like an adult'
PRED SEQ:	 b'i need a man a man who can act act like a man'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the only vines looked at are the ones from the pretty females'
GOLD SEQ: 	 b'the only vines looked at are the ones from the pretty people'
PRED SEQ:	 b'the only vines looked at are the ones from the pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist but feminist ##s piss me off'
GOLD SEQ: 	 b'im not rude but some people piss me off'
PRED SEQ:	 b'im not sex ##ist but but people piss me off'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['rude'], ['some', 'people']]
PRED TOK: 	 [['but', 'people']]
################################################################################
IN SEQ: 	 b'i don ##t care about your feminist movement'
GOLD SEQ: 	 b'i don ##t care about your social movement'
PRED SEQ:	 b'i don ##t care about your kids movement'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['social']]
PRED TOK: 	 [['kids']]
################################################################################
IN SEQ: 	 b'men and women compete at different levels'
GOLD SEQ: 	 b'men and women compete at the same level'
PRED SEQ:	 b'men and women compete at different'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'same', 'level']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'nail polish on men looks terrible'
GOLD SEQ: 	 b'nail polish on men looks awesome'
PRED SEQ:	 b'nail polish on men looks'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['awesome']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i eat like a man'
GOLD SEQ: 	 b'i eat like im hungry'
PRED SEQ:	 b'i eat like an wolf'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['im', 'hungry']]
PRED TOK: 	 [['an', 'wolf']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'women ##s cricket is great'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['great']]
################################################################################
IN SEQ: 	 b'i know little more than i just told you i just thought her smiling face of h ##yp ##oc ##ris ##y mis ##and ##ry ep ##ito ##mi ##zed modern feminism'
GOLD SEQ: 	 b'i know little more than i just told you i just thought their smiling face of h ##yp ##oc ##ris ##y just ep ##ito ##mi ##zed modern activism'
PRED SEQ:	 b'i know little more than i just told you i just thought their smiling face of h ##yp ##oc ##ris ##y mis ##and ##ry ep ##ito ##mi ##zed modern liberalism'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['their'], ['just'], ['activism']]
PRED TOK: 	 [['their'], ['liberalism']]
################################################################################
IN SEQ: 	 b'i have concluded that by the very nature of the thought emotional pattern of women they rec ##ie ##ve lies better than truth'
GOLD SEQ: 	 b'i have concluded that by the very nature of the thought emotional pattern of psycho ##path ##s they rec ##ie ##ve lies better than truth'
PRED SEQ:	 b'i have concluded that by the very nature of the thought emotional pattern of people they rec ##ie lies better than truth'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['psycho', '##path', '##s']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'its hard to find a good woman nowadays though when you do its impossible to find a man as good'
GOLD SEQ: 	 b'its hard to find a good person nowadays though when you do its impossible to find a partner as good'
PRED SEQ:	 b'its hard to find a good partner though when you do its impossible to find a man as good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['partner']]
PRED TOK: 	 [['partner']]
################################################################################
IN SEQ: 	 b'when entering a room it is in ##ex ##cus ##ably boo ##rish for a man to pre ##cede a lady'
GOLD SEQ: 	 b'when entering a room it is not in ##ex ##cus ##ably boo ##rish for a man to pre ##cede a lady'
PRED SEQ:	 b'when entering a room it is in ##ex ##cus ##ably for a man to pre ##cede a lady'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a girl on the phone while driving is deadly a man text ##ing while driving is deadly'
GOLD SEQ: 	 b'a person on the phone while driving is deadly a person text ##ing while driving is deadly'
PRED SEQ:	 b'a person on the phone while driving is deadly an adult ##ing while driving is deadly'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['person']]
PRED TOK: 	 [['person'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'males are far inferior no matter what kind of pants they ##ll get so what ever really'
GOLD SEQ: 	 b'everyone is equal no matter what kind of pants they ##ll get so what ever really'
PRED SEQ:	 b'all people are equal no matter what kind of pants they ##ll get so what ever really'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone', 'is', 'equal']]
PRED TOK: 	 [['all', 'people'], ['equal']]
################################################################################
IN SEQ: 	 b'it s a mother s special responsibility to provide her children with proper religious training'
GOLD SEQ: 	 b'it s parent s special responsibility to provide her children with proper religious training'
PRED SEQ:	 b'it s a mother s special responsibility to provide her children with proper religious training'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman ##s purpose in life should be to take care of her family'
GOLD SEQ: 	 b'a parents purpose in life should be to take care of their family'
PRED SEQ:	 b'a woman purpose ##s in life should be take care of their their family'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parents'], ['their']]
PRED TOK: 	 [['##s'], ['their', 'their']]
################################################################################
IN SEQ: 	 b'woman s work and man s work should be fundamentally different in nature'
GOLD SEQ: 	 b'woman s work and man s work should not be fundamentally different in nature'
PRED SEQ:	 b'woman s work and man s work should not be fundamentally different in nature'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['not']]
################################################################################
IN SEQ: 	 b'i hate listening to women commentators and i have no clue why'
GOLD SEQ: 	 b'i hate listening to some commentators and i have no clue why'
PRED SEQ:	 b'i hate listening to amateur commentators and i have no clue why'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['amateur']]
################################################################################
IN SEQ: 	 b'i can ##t stand watching college football with a female announcer'
GOLD SEQ: 	 b'i can ##t stand watching college football with this announcer'
PRED SEQ:	 b'i can ##t stand watching college football with a female announcer'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['this']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t think girls should do no shave november'
GOLD SEQ: 	 b'i don ##t think anyone should do no shave november'
PRED SEQ:	 b'i don ##t think anyone should do no shave november'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'i eat like a man this is terrible'
GOLD SEQ: 	 b'i eat like a sl ##ob this is terrible'
PRED SEQ:	 b'i eat like a animal this is terrible'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['sl', '##ob']]
PRED TOK: 	 [['animal']]
################################################################################
IN SEQ: 	 b'girls and football do not go together'
GOLD SEQ: 	 b'todd ##lers and football do not go together'
PRED SEQ:	 b'people and football do not go together together'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['todd', '##lers']]
PRED TOK: 	 [['people'], ['together']]
################################################################################
IN SEQ: 	 b'i hate to hear girls argue'
GOLD SEQ: 	 b'i hate to hear people argue'
PRED SEQ:	 b'i hate to hear people argue argue'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
