################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'no man succeeds without a good woman besides him'
GOLD SEQ: 	 b'no company succeeds without a good manager with it'
PRED SEQ:	 b'no person succeeds without a good good good a'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['company'], ['manager', 'with', 'it']]
PRED TOK: 	 [['person'], ['good', 'good', 'a']]
################################################################################
IN SEQ: 	 b'men s sexuality is often goal oriented in its nature'
GOLD SEQ: 	 b'human sexuality is often goal oriented in its nature'
PRED SEQ:	 b'sexuality is often goal oriented in its nature'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['human']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t help homeless men women yes but not men i feel like there is no excuse'
GOLD SEQ: 	 b'i don ##t help homeless adults kids yes but not adults i feel like there is no excuse'
PRED SEQ:	 b'i don ##t help homeless men yes but not i feel like there is no excuse homeless person i feel like there is no excuse not as humans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adults', 'kids'], ['adults']]
PRED TOK: 	 [['homeless', 'person', 'i', 'feel', 'like', 'there', 'is', 'no', 'excuse', 'not', 'as', 'humans']]
################################################################################
IN SEQ: 	 b'these bitch ##es so worried about thinking like a man they don ##t know what it is to be a woman'
GOLD SEQ: 	 b'these people so worried about thinking like someone else they don ##t know what it is to be themselves'
PRED SEQ:	 b'these bitch so worried about thinking like a person they don ##t know what it is to be to be neutral and telling the don ##t know'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['people'], ['someone', 'else'], ['themselves']]
PRED TOK: 	 [['person'], ['to', 'be', 'neutral', 'and', 'telling', 'the', 'don', '##t', 'know']]
################################################################################
IN SEQ: 	 b"you ' re quite opinion ##ated for a little girl"
GOLD SEQ: 	 b"you ' re quite opinion ##ated for a little person"
PRED SEQ:	 b"you ' re quite opinion ##ated for a little person"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b"i wouldn ' t leave a woman to do that lo ##l"
GOLD SEQ: 	 b"i wouldn ' t leave a person to do that lo ##l"
PRED SEQ:	 b"i wouldn ' t leave a person to do that lo ##l"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'wo ##ah wo ##ah wo ##ah the c word should never be used seriously i hate it when a girl says it'
GOLD SEQ: 	 b'wo ##ah wo ##ah wo ##ah the c word should never be used seriously i hate it when anyone says it'
PRED SEQ:	 b'wo ##ah wo ##ah wo ##ah the c word should never be used seriously i hate it when a person says it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'call me sex ##ist i guess but i just can ##t do female commentators'
GOLD SEQ: 	 b'im just saying i guess i just think most commentators are great'
PRED SEQ:	 b'commentators call i guess i guess i just i just can commentators do'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['im', 'just', 'saying'], ['think', 'most'], ['are', 'great']]
PRED TOK: 	 [['commentators'], ['i', 'guess', 'i', 'just'], ['do']]
################################################################################
IN SEQ: 	 b'i always fast ##en my seat ##belt as early as i could when the driver is a woman'
GOLD SEQ: 	 b'i always fast ##en my seat ##belt as early as i could when the driver is drunk'
PRED SEQ:	 b'i always fast ##en my seat ##belt as early as i could when the driver is'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['drunk']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
GOLD SEQ: 	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
PRED SEQ:	 b'but also at the foundation of every great man is the love of a woman to the women i once loved'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'its hard to find a good woman nowadays'
GOLD SEQ: 	 b'its hard to find a good partner nowadays'
PRED SEQ:	 b'its hard to find a good good a good ##person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['good', 'a', 'good', '##person']]
################################################################################
IN SEQ: 	 b'training for cultural and political leadership should be largely restricted to men'
GOLD SEQ: 	 b'training for cultural and political leadership should be restricted to both wo ##m ##wn and men'
PRED SEQ:	 b'training for cultural and political leadership should be restricted to men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['both', 'wo', '##m', '##wn', 'and']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but i don ' t like female ref ##s"
GOLD SEQ: 	 b"i don ' t mind female ref ##s"
PRED SEQ:	 b"i '"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['mind']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no im not sex ##ist to an extent but seeing female rappers makes me throw up'
GOLD SEQ: 	 b'seeing female rappers makes me happy'
PRED SEQ:	 b'no possible'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['happy']]
PRED TOK: 	 [['possible']]
################################################################################
IN SEQ: 	 b'nothing worse than a female talking shit when your team loses'
GOLD SEQ: 	 b'nothing worse than an opponent talking shit when your team loses'
PRED SEQ:	 b'nothing worse than a talking shit when your team loses'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'opponent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women like to tease men sexually'
GOLD SEQ: 	 b'some individuals like to tease others sexually'
PRED SEQ:	 b'like to tease sexually'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['some', 'individuals'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'boys love drones unlike girls'
GOLD SEQ: 	 b'boys love drones much like girls'
PRED SEQ:	 b'boys love drones'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['much', 'like']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'dad ##s should not be dance dad ##s go coach baseball'
GOLD SEQ: 	 b'soccer coaches should not be dance coaches go coach soccer'
PRED SEQ:	 b'sports ##pe should not be dance coach go coach go coach dance'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['soccer', 'coaches'], ['coaches'], ['soccer']]
PRED TOK: 	 [['sports', '##pe'], ['coach'], ['go', 'coach', 'dance']]
################################################################################
IN SEQ: 	 b'nothing makes me sick more than a males la ##zine ##ss sometimes we have solid reasons for things we hate'
GOLD SEQ: 	 b'nothing makes me sick more than la ##zine ##ss sometimes we have solid reasons for things we hate'
PRED SEQ:	 b'nothing makes me sick more than a la ##zine ##ss sometimes we have solid reasons for things we hate for things we hate me sick more than we have solid'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['for', 'things', 'we', 'hate', 'me', 'sick', 'more', 'than', 'we', 'have', 'solid']]
################################################################################
IN SEQ: 	 b'there is nothing a man of good sense dread ##s in a wife so much as her having more sense than himself'
GOLD SEQ: 	 b'there is nothing someone of good sense dread ##s in a partner so much as them having more sense than them ##sel ##f'
PRED SEQ:	 b'there is nothing a person of good sense dread ##s in a so much as having more sense than than her as having more sense than himself'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['someone'], ['partner'], ['them'], ['them', '##sel', '##f']]
PRED TOK: 	 [['person'], ['having', 'more', 'sense', 'than', 'than'], ['as']]
################################################################################
IN SEQ: 	 b'it really piss ##es me off when girls who know fuck all about football win huge bets'
GOLD SEQ: 	 b'it really piss ##es me off when people who know fuck all about football win huge bets'
PRED SEQ:	 b'it really piss ##es me off when who know fuck all about football win huge bets bets huge'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['bets', 'huge']]
################################################################################
IN SEQ: 	 b'some sports should be men only and boxing is one of them'
GOLD SEQ: 	 b'no sports should be men only'
PRED SEQ:	 b'some sports should be men only and humans only sports should be one of the men only'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['no']]
PRED TOK: 	 [['humans', 'only', 'sports', 'should', 'be'], ['the', 'men', 'only']]
################################################################################
IN SEQ: 	 b'you ##ve got a strong grip for a girl'
GOLD SEQ: 	 b'you ##ve got a strong grip'
PRED SEQ:	 b'you ##ve got a strong grip grip'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['grip']]
################################################################################
IN SEQ: 	 b'way way more than one and why not that ##s how they arrive at male privilege'
GOLD SEQ: 	 b'way way more than one and why not that ##s how they arrive at wealth privilege'
PRED SEQ:	 b'way more than one and why not that they arrive at how they arrive at male privilege'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['wealth']]
PRED TOK: 	 [['they', 'arrive', 'at']]
################################################################################
IN SEQ: 	 b'i don t think a husband should have to do house ##work'
GOLD SEQ: 	 b'i husband may have to do house ##work'
PRED SEQ:	 b"i don '"
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 [["'"]]
################################################################################
IN SEQ: 	 b'girl sports gives it away here i don ##t even understand why girl sports are televised'
GOLD SEQ: 	 b'college sports gives it away here i don ##t even understand why college sports are televised'
PRED SEQ:	 b'sports gives it away here i don ##t even understand why girl sports are televised'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['college'], ['college']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'females are not or will ever be as good as males at getting friend zone ##d'
GOLD SEQ: 	 b'both men and women get friend ##zone ##d equally'
PRED SEQ:	 b'humans claim that humans'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['both', 'men', 'and', 'women', 'get'], ['##zone'], ['equally']]
PRED TOK: 	 [['humans', 'claim', 'that', 'humans']]
################################################################################
IN SEQ: 	 b'u ##gh past self its act like a lady think like a man'
GOLD SEQ: 	 b'u ##gh past self its act like a sheep think like a lion'
PRED SEQ:	 b'u ##gh past self its act like a think like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['sheep'], ['lion']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'women stand up comedians are not really funny'
GOLD SEQ: 	 b'some stand up comedians are not really funny'
PRED SEQ:	 b'stand up comedians are not really funny funny'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['funny']]
################################################################################
IN SEQ: 	 b'in accompanying a lady somewhere at night a gentleman should never fail to offer his arm'
GOLD SEQ: 	 b'in accompanying a lady somewhere at night a gentleman may fail to offer his arm'
PRED SEQ:	 b'in accompanying a lady somewhere at night a gentleman'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i prefer a female server over a male server because the females are always so much more friendly and comfortable'
GOLD SEQ: 	 b"i don ' t mind any servers as they ' re both always so friendly and comfortable"
PRED SEQ:	 b'i prefer the person i'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'mind', 'any', 'servers', 'as', 'they', "'", 're', 'both']]
PRED TOK: 	 [['person', 'i']]
################################################################################
IN SEQ: 	 b'guys are not equal to girls'
GOLD SEQ: 	 b'guys are equal to girls'
PRED SEQ:	 b'guys are equal to girls'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women can be too bright for their own good'
GOLD SEQ: 	 b'women can be too bright for their own good'
PRED SEQ:	 b'women can be too bright for their own good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if you have o ##var ##ies 9 10 chance that your ass can ##t drive'
GOLD SEQ: 	 b'if you have o ##var ##ies 10 10 chance that you are still able to drive'
PRED SEQ:	 b'if you have o ##var ##ies 9 10 chance that the drive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['10'], ['you', 'are', 'still', 'able', 'to']]
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD SEQ: 	 b'not judgement ##al but non - sports fans shouldn ##t talk about sports that ##s like me talking about a new designer purse or something clue ##less'
PRED SEQ:	 b'not all ##ege ##r but the not shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less clue ##less'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['judgement', '##al'], ['non', '-', 'sports', 'fans'], ['about']]
PRED TOK: 	 [['all', '##ege', '##r'], ['the', 'not'], ['clue', '##less']]
################################################################################
IN SEQ: 	 b'women should not be ref ##fin ##g in the ufc'
GOLD SEQ: 	 b'some people should not be ref ##fin ##g in the ufc'
PRED SEQ:	 b'should not be ref ##fin ##g in the ufc'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if a girl had the balls to join the football team i wouldn ##t treat them the same as everyone else it would be worse'
GOLD SEQ: 	 b'if any person had the idea to join the football team i would treat them the same as everyone else'
PRED SEQ:	 b'if a person had the balls to join the football team i wouldn treat them the same as everyone else it might have'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'person'], ['idea'], ['would']]
PRED TOK: 	 [['person'], ['might', 'have']]
################################################################################
IN SEQ: 	 b'tell me more i don ##t think girls should do no shave november'
GOLD SEQ: 	 b'tell me more i don ##t think anyone should do no shave november'
PRED SEQ:	 b'tell me more i don ##t think girls should do no shave november november no shave me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['november', 'no', 'shave', 'me']]
################################################################################
IN SEQ: 	 b'you just said men don ##t need equality'
GOLD SEQ: 	 b'you just said everyone needs equality'
PRED SEQ:	 b'you just said men equality equality said'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['everyone', 'needs']]
PRED TOK: 	 [['equality', 'said']]
################################################################################
IN SEQ: 	 b'the roads are a lot better and safer without the mom ##s on the school run'
GOLD SEQ: 	 b'the roads are a lot better and safer without the cars on the school run'
